block_folder,block_id,render_wrapper_block_class,variant,reference_id,expected_wrapper_selector,selector_in_replacement_css,renderable_element_mapping,clone_status,culprit_fixed
brochure-cta,brochure_cta,igp-block--brochure-cta,default,01-foundation-conversion.html#brochure-cta:default,.igp-block--brochure-cta.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
brochure-cta,brochure_cta,igp-block--brochure-cta,banner,01-foundation-conversion.html#brochure-cta:banner,.igp-block--brochure-cta.igp-variant--banner,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
brochure-cta,brochure_cta,igp-block--brochure-cta,card,01-foundation-conversion.html#brochure-cta:card,.igp-block--brochure-cta.igp-variant--card,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
brochure-cta,brochure_cta,igp-block--brochure-cta,inline,01-foundation-conversion.html#brochure-cta:inline,.igp-block--brochure-cta.igp-variant--inline,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
cta,cta,igp-block--cta,default,01-foundation-conversion.html#cta:default,.igp-block--cta.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
cta,cta,igp-block--cta,inline,01-foundation-conversion.html#cta:inline,.igp-block--cta.igp-variant--inline,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
cta,cta,igp-block--cta,banner,01-foundation-conversion.html#cta:banner,.igp-block--cta.igp-variant--banner,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
cta,cta,igp-block--cta,split,01-foundation-conversion.html#cta:split,.igp-block--cta.igp-variant--split,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
cta,cta,igp-block--cta,card,01-foundation-conversion.html#cta:card,.igp-block--cta.igp-variant--card,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
departure-dates,departure_dates,igp-block--departure-dates,default,04-journey-logistics.html#departure-dates:default,.igp-block--departure-dates.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
departure-dates,departure_dates,igp-block--departure-dates,table,04-journey-logistics.html#departure-dates:table,.igp-block--departure-dates.igp-variant--table,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
departure-dates,departure_dates,igp-block--departure-dates,cards,04-journey-logistics.html#departure-dates:cards,.igp-block--departure-dates.igp-variant--cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
departure-dates,departure_dates,igp-block--departure-dates,compact,04-journey-logistics.html#departure-dates:compact,.igp-block--departure-dates.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
destination-cards,destination_cards,igp-block--destination-cards,default,02-listing-card-systems.html#destination-cards:default,.igp-block--destination-cards.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
destination-cards,destination_cards,igp-block--destination-cards,grid,02-listing-card-systems.html#destination-cards:grid,.igp-block--destination-cards.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
destination-cards,destination_cards,igp-block--destination-cards,carousel-safe,02-listing-card-systems.html#destination-cards:carousel-safe,.igp-block--destination-cards.igp-variant--carousel-safe,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
destination-cards,destination_cards,igp-block--destination-cards,list,02-listing-card-systems.html#destination-cards:list,.igp-block--destination-cards.igp-variant--list,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
destination-cards,destination_cards,igp-block--destination-cards,featured,02-listing-card-systems.html#destination-cards:featured,.igp-block--destination-cards.igp-variant--featured,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
expert-box,expert_box,igp-block--expert-box,default,03-visual-proof-local-context.html#expert-box:default,.igp-block--expert-box.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
expert-box,expert_box,igp-block--expert-box,card,03-visual-proof-local-context.html#expert-box:card,.igp-block--expert-box.igp-variant--card,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
expert-box,expert_box,igp-block--expert-box,profile,03-visual-proof-local-context.html#expert-box:profile,.igp-block--expert-box.igp-variant--profile,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
expert-box,expert_box,igp-block--expert-box,compact,03-visual-proof-local-context.html#expert-box:compact,.igp-block--expert-box.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
faq,faq,igp-block--faq,default,06-interactive-utility.html#faq:default,.igp-block--faq.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
faq,faq,igp-block--faq,accordion,06-interactive-utility.html#faq:accordion,.igp-block--faq.igp-variant--accordion,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
faq,faq,igp-block--faq,grouped,06-interactive-utility.html#faq:grouped,.igp-block--faq.igp-variant--grouped,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
faq,faq,igp-block--faq,compact,06-interactive-utility.html#faq:compact,.igp-block--faq.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
featured-listings,featured_listings,igp-block--featured-listings,default,02-listing-card-systems.html#featured-listings:default,.igp-block--featured-listings.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
featured-listings,featured_listings,igp-block--featured-listings,grid,02-listing-card-systems.html#featured-listings:grid,.igp-block--featured-listings.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
featured-listings,featured_listings,igp-block--featured-listings,carousel-safe,02-listing-card-systems.html#featured-listings:carousel-safe,.igp-block--featured-listings.igp-variant--carousel-safe,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
featured-listings,featured_listings,igp-block--featured-listings,list,02-listing-card-systems.html#featured-listings:list,.igp-block--featured-listings.igp-variant--list,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
featured-listings,featured_listings,igp-block--featured-listings,featured,02-listing-card-systems.html#featured-listings:featured,.igp-block--featured-listings.igp-variant--featured,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
gallery,gallery,igp-block--gallery,default,03-visual-proof-local-context.html#gallery:default,.igp-block--gallery.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
gallery,gallery,igp-block--gallery,grid,03-visual-proof-local-context.html#gallery:grid,.igp-block--gallery.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
gallery,gallery,igp-block--gallery,masonry-safe,03-visual-proof-local-context.html#gallery:masonry-safe,.igp-block--gallery.igp-variant--masonry-safe,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
gallery,gallery,igp-block--gallery,slider-safe,03-visual-proof-local-context.html#gallery:slider-safe,.igp-block--gallery.igp-variant--slider-safe,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
hero,hero,igp-block--hero,default,01-foundation-conversion.html#hero:default,.igp-block--hero.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
hero,hero,igp-block--hero,full-width,01-foundation-conversion.html#hero:full-width,.igp-block--hero.igp-variant--full-width,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
hero,hero,igp-block--hero,image-left,01-foundation-conversion.html#hero:image-left,.igp-block--hero.igp-variant--image-left,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
hero,hero,igp-block--hero,image-right,01-foundation-conversion.html#hero:image-right,.igp-block--hero.igp-variant--image-right,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
hero,hero,igp-block--hero,split-overlay,01-foundation-conversion.html#hero:split-overlay,.igp-block--hero.igp-variant--split-overlay,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
hero,hero,igp-block--hero,centered-minimal,01-foundation-conversion.html#hero:centered-minimal,.igp-block--hero.igp-variant--centered-minimal,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
icon-list,icon_list,igp-block--icon-list,default,06-interactive-utility.html#icon-list:default,.igp-block--icon-list.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
icon-list,icon_list,igp-block--icon-list,grid,06-interactive-utility.html#icon-list:grid,.igp-block--icon-list.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
icon-list,icon_list,igp-block--icon-list,compact,06-interactive-utility.html#icon-list:compact,.igp-block--icon-list.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
icon-list,icon_list,igp-block--icon-list,cards,06-interactive-utility.html#icon-list:cards,.igp-block--icon-list.igp-variant--cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
inclusions-exclusions,inclusions_exclusions,igp-block--inclusions-exclusions,default,04-journey-logistics.html#inclusions-exclusions:default,.igp-block--inclusions-exclusions.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
inclusions-exclusions,inclusions_exclusions,igp-block--inclusions-exclusions,two-column,04-journey-logistics.html#inclusions-exclusions:two-column,.igp-block--inclusions-exclusions.igp-variant--two-column,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
inclusions-exclusions,inclusions_exclusions,igp-block--inclusions-exclusions,compact,04-journey-logistics.html#inclusions-exclusions:compact,.igp-block--inclusions-exclusions.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
inclusions-exclusions,inclusions_exclusions,igp-block--inclusions-exclusions,cards,04-journey-logistics.html#inclusions-exclusions:cards,.igp-block--inclusions-exclusions.igp-variant--cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
itinerary,itinerary,igp-block--itinerary,default,04-journey-logistics.html#itinerary:default,.igp-block--itinerary.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
itinerary,itinerary,igp-block--itinerary,timeline,04-journey-logistics.html#itinerary:timeline,.igp-block--itinerary.igp-variant--timeline,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
itinerary,itinerary,igp-block--itinerary,cards,04-journey-logistics.html#itinerary:cards,.igp-block--itinerary.igp-variant--cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
itinerary,itinerary,igp-block--itinerary,compact,04-journey-logistics.html#itinerary:compact,.igp-block--itinerary.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
map,map,igp-block--map,default,05-pricing-location-booking.html#map:default,.igp-block--map.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
map,map,igp-block--map,wide,05-pricing-location-booking.html#map:wide,.igp-block--map.igp-variant--wide,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
map,map,igp-block--map,card,05-pricing-location-booking.html#map:card,.igp-block--map.igp-variant--card,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
nearby-attractions,nearby_attractions,igp-block--nearby-attractions,default,03-visual-proof-local-context.html#nearby-attractions:default,.igp-block--nearby-attractions.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
nearby-attractions,nearby_attractions,igp-block--nearby-attractions,grid,03-visual-proof-local-context.html#nearby-attractions:grid,.igp-block--nearby-attractions.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
nearby-attractions,nearby_attractions,igp-block--nearby-attractions,list,03-visual-proof-local-context.html#nearby-attractions:list,.igp-block--nearby-attractions.igp-variant--list,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
nearby-attractions,nearby_attractions,igp-block--nearby-attractions,compact,03-visual-proof-local-context.html#nearby-attractions:compact,.igp-block--nearby-attractions.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
package-tiers,package_tiers,igp-block--package-tiers,default,05-pricing-location-booking.html#package-tiers:default,.igp-block--package-tiers.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
package-tiers,package_tiers,igp-block--package-tiers,comparison,05-pricing-location-booking.html#package-tiers:comparison,.igp-block--package-tiers.igp-variant--comparison,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
package-tiers,package_tiers,igp-block--package-tiers,cards,05-pricing-location-booking.html#package-tiers:cards,.igp-block--package-tiers.igp-variant--cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
package-tiers,package_tiers,igp-block--package-tiers,compact,05-pricing-location-booking.html#package-tiers:compact,.igp-block--package-tiers.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
pricing-summary,pricing_summary,igp-block--pricing-summary,default,05-pricing-location-booking.html#pricing-summary:default,.igp-block--pricing-summary.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
pricing-summary,pricing_summary,igp-block--pricing-summary,compact,05-pricing-location-booking.html#pricing-summary:compact,.igp-block--pricing-summary.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
pricing-summary,pricing_summary,igp-block--pricing-summary,featured,05-pricing-location-booking.html#pricing-summary:featured,.igp-block--pricing-summary.igp-variant--featured,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
pricing-summary,pricing_summary,igp-block--pricing-summary,comparison,05-pricing-location-booking.html#pricing-summary:comparison,.igp-block--pricing-summary.igp-variant--comparison,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-destinations,related_destinations,igp-block--related-destinations,default,02-listing-card-systems.html#related-destinations:default,.igp-block--related-destinations.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-destinations,related_destinations,igp-block--related-destinations,grid,02-listing-card-systems.html#related-destinations:grid,.igp-block--related-destinations.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-destinations,related_destinations,igp-block--related-destinations,carousel-safe,02-listing-card-systems.html#related-destinations:carousel-safe,.igp-block--related-destinations.igp-variant--carousel-safe,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-destinations,related_destinations,igp-block--related-destinations,list,02-listing-card-systems.html#related-destinations:list,.igp-block--related-destinations.igp-variant--list,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-destinations,related_destinations,igp-block--related-destinations,featured,02-listing-card-systems.html#related-destinations:featured,.igp-block--related-destinations.igp-variant--featured,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-tours,related_tours,igp-block--related-tours,default,02-listing-card-systems.html#related-tours:default,.igp-block--related-tours.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-tours,related_tours,igp-block--related-tours,grid,02-listing-card-systems.html#related-tours:grid,.igp-block--related-tours.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-tours,related_tours,igp-block--related-tours,carousel-safe,02-listing-card-systems.html#related-tours:carousel-safe,.igp-block--related-tours.igp-variant--carousel-safe,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-tours,related_tours,igp-block--related-tours,list,02-listing-card-systems.html#related-tours:list,.igp-block--related-tours.igp-variant--list,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
related-tours,related_tours,igp-block--related-tours,featured,02-listing-card-systems.html#related-tours:featured,.igp-block--related-tours.igp-variant--featured,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
reviews-summary,reviews_summary,igp-block--reviews-summary,default,03-visual-proof-local-context.html#reviews-summary:default,.igp-block--reviews-summary.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
reviews-summary,reviews_summary,igp-block--reviews-summary,summary,03-visual-proof-local-context.html#reviews-summary:summary,.igp-block--reviews-summary.igp-variant--summary,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
reviews-summary,reviews_summary,igp-block--reviews-summary,cards,03-visual-proof-local-context.html#reviews-summary:cards,.igp-block--reviews-summary.igp-variant--cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
reviews-summary,reviews_summary,igp-block--reviews-summary,compact,03-visual-proof-local-context.html#reviews-summary:compact,.igp-block--reviews-summary.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
rich-text,rich_text,igp-block--rich-text,default,01-foundation-conversion.html#rich-text:default,.igp-block--rich-text.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
rich-text,rich_text,igp-block--rich-text,article,01-foundation-conversion.html#rich-text:article,.igp-block--rich-text.igp-variant--article,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
rich-text,rich_text,igp-block--rich-text,lead,01-foundation-conversion.html#rich-text:lead,.igp-block--rich-text.igp-variant--lead,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
rich-text,rich_text,igp-block--rich-text,panel,01-foundation-conversion.html#rich-text:panel,.igp-block--rich-text.igp-variant--panel,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
rich-text,rich_text,igp-block--rich-text,quote,01-foundation-conversion.html#rich-text:quote,.igp-block--rich-text.igp-variant--quote,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
route-timeline,route_timeline,igp-block--route-timeline,default,04-journey-logistics.html#route-timeline:default,.igp-block--route-timeline.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
route-timeline,route_timeline,igp-block--route-timeline,timeline,04-journey-logistics.html#route-timeline:timeline,.igp-block--route-timeline.igp-variant--timeline,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
route-timeline,route_timeline,igp-block--route-timeline,cards,04-journey-logistics.html#route-timeline:cards,.igp-block--route-timeline.igp-variant--cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
route-timeline,route_timeline,igp-block--route-timeline,compact,04-journey-logistics.html#route-timeline:compact,.igp-block--route-timeline.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
section-wrapper,section,igp-block--section,default,01-foundation-conversion.html#section-wrapper:default,.igp-block--section.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
section-wrapper,section,igp-block--section,band,01-foundation-conversion.html#section-wrapper:band,.igp-block--section.igp-variant--band,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
section-wrapper,section,igp-block--section,split,01-foundation-conversion.html#section-wrapper:split,.igp-block--section.igp-variant--split,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
section-wrapper,section,igp-block--section,grid,01-foundation-conversion.html#section-wrapper:grid,.igp-block--section.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
stats,stats,igp-block--stats,default,06-interactive-utility.html#stats:default,.igp-block--stats.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
stats,stats,igp-block--stats,grid,06-interactive-utility.html#stats:grid,.igp-block--stats.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
stats,stats,igp-block--stats,strip,06-interactive-utility.html#stats:strip,.igp-block--stats.igp-variant--strip,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
stats,stats,igp-block--stats,cards,06-interactive-utility.html#stats:cards,.igp-block--stats.igp-variant--cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
sticky-booking-cta,sticky_booking_cta,igp-block--sticky-booking-cta,default,05-pricing-location-booking.html#sticky-booking-cta:default,.igp-block--sticky-booking-cta.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
sticky-booking-cta,sticky_booking_cta,igp-block--sticky-booking-cta,bottom-bar,05-pricing-location-booking.html#sticky-booking-cta:bottom-bar,.igp-block--sticky-booking-cta.igp-variant--bottom-bar,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
sticky-booking-cta,sticky_booking_cta,igp-block--sticky-booking-cta,side-card,05-pricing-location-booking.html#sticky-booking-cta:side-card,.igp-block--sticky-booking-cta.igp-variant--side-card,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
sticky-booking-cta,sticky_booking_cta,igp-block--sticky-booking-cta,inline,05-pricing-location-booking.html#sticky-booking-cta:inline,.igp-block--sticky-booking-cta.igp-variant--inline,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tabs,tabs,igp-block--tabs,default,06-interactive-utility.html#tabs:default,.igp-block--tabs.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tabs,tabs,igp-block--tabs,pills,06-interactive-utility.html#tabs:pills,.igp-block--tabs.igp-variant--pills,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tabs,tabs,igp-block--tabs,underline,06-interactive-utility.html#tabs:underline,.igp-block--tabs.igp-variant--underline,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tabs,tabs,igp-block--tabs,boxed,06-interactive-utility.html#tabs:boxed,.igp-block--tabs.igp-variant--boxed,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tour-cards,tour_cards,igp-block--tour-cards,default,02-listing-card-systems.html#tour-cards:default,.igp-block--tour-cards.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tour-cards,tour_cards,igp-block--tour-cards,grid,02-listing-card-systems.html#tour-cards:grid,.igp-block--tour-cards.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tour-cards,tour_cards,igp-block--tour-cards,carousel-safe,02-listing-card-systems.html#tour-cards:carousel-safe,.igp-block--tour-cards.igp-variant--carousel-safe,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tour-cards,tour_cards,igp-block--tour-cards,list,02-listing-card-systems.html#tour-cards:list,.igp-block--tour-cards.igp-variant--list,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tour-cards,tour_cards,igp-block--tour-cards,featured,02-listing-card-systems.html#tour-cards:featured,.igp-block--tour-cards.igp-variant--featured,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tour-facts,tour_facts,igp-block--tour-facts,default,04-journey-logistics.html#tour-facts:default,.igp-block--tour-facts.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tour-facts,tour_facts,igp-block--tour-facts,grid,04-journey-logistics.html#tour-facts:grid,.igp-block--tour-facts.igp-variant--grid,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
