block,variant,reference_id,reference_label,igp_target_selector,pre_fix_explicit_selector_present,pre_fix_exact_clone_pass,post_fix_clone_binding,post_fix_status
destination-cards,default,02-listing-card-systems.html#destination-cards:default,Destination Cards default cards,.igp-block--destination-cards.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
destination-cards,grid,02-listing-card-systems.html#destination-cards:grid,Grid layout,.igp-block--destination-cards.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
destination-cards,carousel-safe,02-listing-card-systems.html#destination-cards:carousel-safe,Carousel-safe rail,.igp-block--destination-cards.igp-variant--carousel-safe,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
destination-cards,list,02-listing-card-systems.html#destination-cards:list,List/results layout,.igp-block--destination-cards.igp-variant--list,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
destination-cards,featured,02-listing-card-systems.html#destination-cards:featured,Featured editorial layout,.igp-block--destination-cards.igp-variant--featured,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
featured-listings,default,02-listing-card-systems.html#featured-listings:default,Featured Listings default cards,.igp-block--featured-listings.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
featured-listings,grid,02-listing-card-systems.html#featured-listings:grid,Grid layout,.igp-block--featured-listings.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
featured-listings,carousel-safe,02-listing-card-systems.html#featured-listings:carousel-safe,Carousel-safe rail,.igp-block--featured-listings.igp-variant--carousel-safe,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
featured-listings,list,02-listing-card-systems.html#featured-listings:list,List/results layout,.igp-block--featured-listings.igp-variant--list,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
featured-listings,featured,02-listing-card-systems.html#featured-listings:featured,Featured editorial layout,.igp-block--featured-listings.igp-variant--featured,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-tours,default,02-listing-card-systems.html#related-tours:default,Related Tours default cards,.igp-block--related-tours.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-tours,grid,02-listing-card-systems.html#related-tours:grid,Grid layout,.igp-block--related-tours.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-tours,carousel-safe,02-listing-card-systems.html#related-tours:carousel-safe,Carousel-safe rail,.igp-block--related-tours.igp-variant--carousel-safe,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-tours,list,02-listing-card-systems.html#related-tours:list,List/results layout,.igp-block--related-tours.igp-variant--list,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-tours,featured,02-listing-card-systems.html#related-tours:featured,Featured editorial layout,.igp-block--related-tours.igp-variant--featured,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-destinations,default,02-listing-card-systems.html#related-destinations:default,Related Destinations default cards,.igp-block--related-destinations.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-destinations,grid,02-listing-card-systems.html#related-destinations:grid,Grid layout,.igp-block--related-destinations.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-destinations,carousel-safe,02-listing-card-systems.html#related-destinations:carousel-safe,Carousel-safe rail,.igp-block--related-destinations.igp-variant--carousel-safe,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-destinations,list,02-listing-card-systems.html#related-destinations:list,List/results layout,.igp-block--related-destinations.igp-variant--list,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
related-destinations,featured,02-listing-card-systems.html#related-destinations:featured,Featured editorial layout,.igp-block--related-destinations.igp-variant--featured,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
gallery,default,03-visual-proof-local-context.html#gallery:default,Default curated gallery,.igp-block--gallery.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
gallery,grid,03-visual-proof-local-context.html#gallery:grid,Gallery grid,.igp-block--gallery.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
gallery,masonry-safe,03-visual-proof-local-context.html#gallery:masonry-safe,Masonry-safe editorial wall,.igp-block--gallery.igp-variant--masonry-safe,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
gallery,slider-safe,03-visual-proof-local-context.html#gallery:slider-safe,Slider-safe horizontal strip,.igp-block--gallery.igp-variant--slider-safe,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
nearby-attractions,default,03-visual-proof-local-context.html#nearby-attractions:default,Default nearby attractions,.igp-block--nearby-attractions.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
nearby-attractions,grid,03-visual-proof-local-context.html#nearby-attractions:grid,Attraction grid,.igp-block--nearby-attractions.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
nearby-attractions,list,03-visual-proof-local-context.html#nearby-attractions:list,Attraction list,.igp-block--nearby-attractions.igp-variant--list,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
nearby-attractions,compact,03-visual-proof-local-context.html#nearby-attractions:compact,Compact nearby chips,.igp-block--nearby-attractions.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
expert-box,default,03-visual-proof-local-context.html#expert-box:default,Default expert contact,.igp-block--expert-box.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
expert-box,card,03-visual-proof-local-context.html#expert-box:card,Consultant card,.igp-block--expert-box.igp-variant--card,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
expert-box,profile,03-visual-proof-local-context.html#expert-box:profile,Profile-led expert box,.igp-block--expert-box.igp-variant--profile,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
expert-box,compact,03-visual-proof-local-context.html#expert-box:compact,Compact expert strip,.igp-block--expert-box.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
reviews-summary,default,03-visual-proof-local-context.html#reviews-summary:default,Default review summary,.igp-block--reviews-summary.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
reviews-summary,summary,03-visual-proof-local-context.html#reviews-summary:summary,Rating dashboard,.igp-block--reviews-summary.igp-variant--summary,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
reviews-summary,cards,03-visual-proof-local-context.html#reviews-summary:cards,Testimonial cards,.igp-block--reviews-summary.igp-variant--cards,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
reviews-summary,compact,03-visual-proof-local-context.html#reviews-summary:compact,Compact rating strip,.igp-block--reviews-summary.igp-variant--compact,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
best-time-to-visit,default,03-visual-proof-local-context.html#best-time-to-visit:default,Default season recommendation,.igp-block--best-time-to-visit.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
best-time-to-visit,seasons,03-visual-proof-local-context.html#best-time-to-visit:seasons,Season cards,.igp-block--best-time-to-visit.igp-variant--seasons,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
best-time-to-visit,monthly,03-visual-proof-local-context.html#best-time-to-visit:monthly,Monthly climate strip,.igp-block--best-time-to-visit.igp-variant--monthly,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
best-time-to-visit,compact,03-visual-proof-local-context.html#best-time-to-visit:compact,Compact best-month strip,.igp-block--best-time-to-visit.igp-variant--compact,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
itinerary,default,04-journey-logistics.html#itinerary:default,Default day list,.igp-block--itinerary.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
itinerary,timeline,04-journey-logistics.html#itinerary:timeline,Vertical timeline,.igp-block--itinerary.igp-variant--timeline,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
itinerary,cards,04-journey-logistics.html#itinerary:cards,Itinerary cards,.igp-block--itinerary.igp-variant--cards,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
itinerary,compact,04-journey-logistics.html#itinerary:compact,Compact itinerary rows,.igp-block--itinerary.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
route-timeline,default,04-journey-logistics.html#route-timeline:default,Default route steps,.igp-block--route-timeline.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
route-timeline,timeline,04-journey-logistics.html#route-timeline:timeline,Connected horizontal timeline,.igp-block--route-timeline.igp-variant--timeline,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
route-timeline,cards,04-journey-logistics.html#route-timeline:cards,Route cards,.igp-block--route-timeline.igp-variant--cards,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
route-timeline,compact,04-journey-logistics.html#route-timeline:compact,Compact route strip,.igp-block--route-timeline.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tour-facts,default,04-journey-logistics.html#tour-facts:default,Default facts,.igp-block--tour-facts.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tour-facts,grid,04-journey-logistics.html#tour-facts:grid,Facts grid,.igp-block--tour-facts.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tour-facts,compact,04-journey-logistics.html#tour-facts:compact,Compact fact chips,.igp-block--tour-facts.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tour-facts,icons,04-journey-logistics.html#tour-facts:icons,Icon facts,.igp-block--tour-facts.igp-variant--icons,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
inclusions-exclusions,default,04-journey-logistics.html#inclusions-exclusions:default,Default inclusions,.igp-block--inclusions-exclusions.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
inclusions-exclusions,two-column,04-journey-logistics.html#inclusions-exclusions:two-column,Two-column comparison,.igp-block--inclusions-exclusions.igp-variant--two-column,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
inclusions-exclusions,compact,04-journey-logistics.html#inclusions-exclusions:compact,Compact checklist,.igp-block--inclusions-exclusions.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
inclusions-exclusions,cards,04-journey-logistics.html#inclusions-exclusions:cards,Inclusion cards,.igp-block--inclusions-exclusions.igp-variant--cards,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
visa-requirements,default,04-journey-logistics.html#visa-requirements:default,Default travel requirements,.igp-block--visa-requirements.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
visa-requirements,checklist,04-journey-logistics.html#visa-requirements:checklist,Checklist requirements,.igp-block--visa-requirements.igp-variant--checklist,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
visa-requirements,cards,04-journey-logistics.html#visa-requirements:cards,Requirement cards,.igp-block--visa-requirements.igp-variant--cards,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
visa-requirements,compact,04-journey-logistics.html#visa-requirements:compact,Compact visa notice,.igp-block--visa-requirements.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
departure-dates,default,04-journey-logistics.html#departure-dates:default,Default availability summary,.igp-block--departure-dates.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
departure-dates,table,04-journey-logistics.html#departure-dates:table,Departure table,.igp-block--departure-dates.igp-variant--table,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
departure-dates,cards,04-journey-logistics.html#departure-dates:cards,Departure cards,.igp-block--departure-dates.igp-variant--cards,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
departure-dates,compact,04-journey-logistics.html#departure-dates:compact,Compact date strip,.igp-block--departure-dates.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
package-tiers,default,05-pricing-location-booking.html#package-tiers:default,Default tier cards,.igp-block--package-tiers.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
package-tiers,comparison,05-pricing-location-booking.html#package-tiers:comparison,Comparison matrix,.igp-block--package-tiers.igp-variant--comparison,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
package-tiers,cards,05-pricing-location-booking.html#package-tiers:cards,Package cards,.igp-block--package-tiers.igp-variant--cards,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
package-tiers,compact,05-pricing-location-booking.html#package-tiers:compact,Compact tier list,.igp-block--package-tiers.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
pricing-summary,default,05-pricing-location-booking.html#pricing-summary:default,Default price summary,.igp-block--pricing-summary.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
pricing-summary,compact,05-pricing-location-booking.html#pricing-summary:compact,Compact price strip,.igp-block--pricing-summary.igp-variant--compact,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
pricing-summary,featured,05-pricing-location-booking.html#pricing-summary:featured,Featured price callout,.igp-block--pricing-summary.igp-variant--featured,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
pricing-summary,comparison,05-pricing-location-booking.html#pricing-summary:comparison,Pricing components,.igp-block--pricing-summary.igp-variant--comparison,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
sticky-booking-cta,default,05-pricing-location-booking.html#sticky-booking-cta:default,Default sticky booking panel,.igp-block--sticky-booking-cta.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
sticky-booking-cta,bottom-bar,05-pricing-location-booking.html#sticky-booking-cta:bottom-bar,Bottom booking bar,.igp-block--sticky-booking-cta.igp-variant--bottom-bar,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
sticky-booking-cta,side-card,05-pricing-location-booking.html#sticky-booking-cta:side-card,Side booking card,.igp-block--sticky-booking-cta.igp-variant--side-card,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
sticky-booking-cta,inline,05-pricing-location-booking.html#sticky-booking-cta:inline,Inline booking CTA,.igp-block--sticky-booking-cta.igp-variant--inline,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
map,default,05-pricing-location-booking.html#map:default,Default map card,.igp-block--map.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
map,wide,05-pricing-location-booking.html#map:wide,Wide map,.igp-block--map.igp-variant--wide,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
map,card,05-pricing-location-booking.html#map:card,Map card,.igp-block--map.igp-variant--card,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
breadcrumb,default,05-pricing-location-booking.html#breadcrumb:default,Default breadcrumb,.igp-block--breadcrumb.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
breadcrumb,compact,05-pricing-location-booking.html#breadcrumb:compact,Compact breadcrumb,.igp-block--breadcrumb.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
faq,default,06-interactive-utility.html#faq:default,Default FAQ list,.igp-block--faq.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
faq,accordion,06-interactive-utility.html#faq:accordion,Accordion FAQ,.igp-block--faq.igp-variant--accordion,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
faq,grouped,06-interactive-utility.html#faq:grouped,Grouped FAQ,.igp-block--faq.igp-variant--grouped,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
faq,compact,06-interactive-utility.html#faq:compact,Compact FAQ,.igp-block--faq.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
accordions,default,06-interactive-utility.html#accordions:default,Default accordion,.igp-block--accordions.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
accordions,accordion,06-interactive-utility.html#accordions:accordion,Classic accordion,.igp-block--accordions.igp-variant--accordion,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
accordions,grouped,06-interactive-utility.html#accordions:grouped,Grouped accordion,.igp-block--accordions.igp-variant--grouped,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
accordions,compact,06-interactive-utility.html#accordions:compact,Compact accordion,.igp-block--accordions.igp-variant--compact,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tabs,default,06-interactive-utility.html#tabs:default,Default tabs,.igp-block--tabs.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tabs,pills,06-interactive-utility.html#tabs:pills,Pill tabs,.igp-block--tabs.igp-variant--pills,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tabs,underline,06-interactive-utility.html#tabs:underline,Underline-style tabs,.igp-block--tabs.igp-variant--underline,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tabs,boxed,06-interactive-utility.html#tabs:boxed,Boxed tabs,.igp-block--tabs.igp-variant--boxed,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
icon-list,default,06-interactive-utility.html#icon-list:default,Default icon list,.igp-block--icon-list.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
icon-list,grid,06-interactive-utility.html#icon-list:grid,Icon feature grid,.igp-block--icon-list.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
icon-list,compact,06-interactive-utility.html#icon-list:compact,Compact icon list,.igp-block--icon-list.igp-variant--compact,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
icon-list,cards,06-interactive-utility.html#icon-list:cards,Icon cards,.igp-block--icon-list.igp-variant--cards,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
stats,default,06-interactive-utility.html#stats:default,Default metrics,.igp-block--stats.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
stats,grid,06-interactive-utility.html#stats:grid,Metrics grid,.igp-block--stats.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
stats,strip,06-interactive-utility.html#stats:strip,Dark metric strip,.igp-block--stats.igp-variant--strip,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
stats,cards,06-interactive-utility.html#stats:cards,Metric cards,.igp-block--stats.igp-variant--cards,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
