renderer_class,covered_by_css_or_clone_adapter,note
igp-pro-block-description,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-block-eyebrow,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-block-header,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-block-header--split,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-block-title,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-breadcrumb,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-breadcrumb__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-breadcrumb__list,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-brochure-cta,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-brochure-cta__actions,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-brochure-cta__body,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-brochure-cta__note,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-button,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-button--secondary,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-card-grid,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-card-grid--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__actions,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__badges,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__button,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__button--primary,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__button--secondary,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__content,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__eyebrow,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__heading,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__inner,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-cta__subheading,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-departure-dates,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-departure-dates__footnote,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-departure-dates__intro,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-departure-dates__row,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-departure-dates__row--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-departure-dates__status,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-departure-dates__table,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-departure-dates__table-wrap,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-destination-cards,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-destination-cards--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-empty-state,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-expert-box,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-expert-box__actions,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-expert-box__body,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-expert-box__card,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-expert-box__image,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-expert-box__role,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-expert-box__specialties,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-faq,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-faq__answer,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-faq__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-faq__items,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-faq__question,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-featured-listings,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-featured-listings--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-gallery,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-gallery--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-gallery--columns-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-gallery__caption,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-gallery__grid,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-gallery__image,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-gallery__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero-search,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__content,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__cta,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__heading,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__image,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__inner,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__media,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__search,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__search-input,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__search-submit,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-hero__subheading,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-icon-list,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-icon-list--columns-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-icon-list__body,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-icon-list__icon,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-icon-list__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-icon-list__items,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-inclusions-exclusions,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-inclusions-exclusions__column,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-inclusions-exclusions__column--excluded,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-inclusions-exclusions__column--included,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-inclusions-exclusions__columns,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-inclusions-exclusions__intro,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-inclusions-exclusions__list,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-inclusions-exclusions__note,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-itinerary,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-itinerary__day,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-itinerary__day-title,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-itinerary__days,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-itinerary__description,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-itinerary__meta,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-listing-block,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-map,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-map__address,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-map__iframe,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-map__link,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-nearby-attraction-card,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-nearby-attraction-card__meta,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-nearby-attractions,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-nearby-attractions__grid,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-nearby-attractions__intro,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-package-tier,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-package-tier--highlight,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-package-tier__duration,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-package-tier__price,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-package-tiers,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-package-tiers__grid,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-package-tiers__intro,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-package-tiers__note,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-pricing-summary,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-pricing-summary__base,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-pricing-summary__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-pricing-summary__items,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-pricing-summary__note,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-related,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-related--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-related-destinations,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-related-tours,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-review-card,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-reviews-summary,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-reviews-summary__breakdown,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-reviews-summary__overview,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-reviews-summary__rating,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-reviews-summary__source,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-reviews-summary__summary,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-reviews-summary__testimonials,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-rich-text,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-rich-text--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-rich-text__content,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-rich-text__eyebrow,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-rich-text__inner,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-rich-text__title,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-route-timeline,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-route-timeline__day,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-route-timeline__intro,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-route-timeline__list,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-route-timeline__meta,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-route-timeline__stop,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-season-card,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-season-card__meta,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section--align-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section--bg-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section--columns-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section--layout-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section--spacing-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section--variant-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section__content,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section__description,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section__eyebrow,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section__header,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section__inner,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-section__title,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-stats,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-stats--columns-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-stats__description,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-stats__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-stats__items,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-stats__label,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-stats__value,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-sticky-booking-cta,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-sticky-booking-cta__actions,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-sticky-booking-cta__content,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-sticky-booking-cta__note,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-sticky-booking-cta__price,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-sticky-booking-cta__title,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tabs,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tabs-,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tabs__nav,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
